,ZT0 Tx,ZT0 V,ZT12 Tx,ZT12 V
FAS,234.63009483481025,211.83889969092314,125.07718495034071,103.502423523375
FBN1,273.57953941163635,195.35460434659817,167.1110022573224,116.19189896876517
FBXO3,1106.4857204259456,1361.915566845456,1421.6255439303195,1500.6035098739649
FBXW2,456.6946689008994,465.2767107674469,531.8102604304008,548.1536487867344
FCGR3,131.89999326739752,103.45921776078141,73.044143477114,73.47044471426571
FCGRT,1702.3190196765256,1783.2970533302332,2010.946214408554,2183.405957930511
FETUB,3966.3472483315186,3671.7887652825966,4682.041110681097,4255.020950812221
FKBP11,39.884754317973695,36.39799286493118,94.69319681965685,49.723979505124504
FLRT2,56.38400704797538,43.82030586317761,25.76900529830222,22.913579465073468
FMN1,140.4310997250343,157.94888614270695,315.69643947530943,269.1132142605713
FOSL2,390.4652423210764,258.9474923942492,234.7476188514185,213.5753071593913
FOXRED1,446.08714240990184,400.8050995787476,527.2191415527495,567.9953422601034
FRMD4B,814.6828964752594,843.0958400932104,1168.3457716067296,1022.1753577479438
FZD6,104.39902079166549,103.3294763616056,47.16455108354932,80.73531545383297
FZD8,227.56876082754818,368.78544428709995,406.29685297699785,371.4455827210569
GABPA,727.1684499654114,632.7758610487559,522.5531835029843,676.1485688401409
GAN,738.1457725281203,328.50140715701053,275.76367135665436,275.7456787938502
GAREM1,1325.8554661301716,719.3240244068792,718.3145722848052,869.8263439302206
GBP10,107.2442015613639,123.27244085623546,43.28564163503732,51.434115990493545
GBP4,118.0334669788409,107.56820778747023,69.70394782970278,75.75065781205103
GCC1,376.58352611085036,312.9413561788451,456.09509051896134,350.52159177625214
GHR,5012.382285187772,6020.010993119425,6171.217684965757,6051.126980104233
GJB2,4281.677390133531,3485.5385807336775,2767.573311523742,2911.104104562821
GLYCTK,3255.553642680154,3779.4073399994118,4406.625129088479,4016.403609259063
GM11967,17.671078423988888,30.58492666186775,41.062451002981255,45.14767510510697
GM13292,49.95560017401491,36.606278608024944,21.64601775309068,26.31160070245736
GM13341,2498.912582848477,2312.229700276462,1691.0648170202264,1910.8082927678715
GM13607,44.93109909542284,18.911150414205384,17.28715353006359,18.090181551234153
GM15318,120.00255088521044,138.80867548279906,169.99718262584534,115.83586188502893
GM15711,30.79734145225264,42.71916797318209,65.17520732577411,89.78044084681876
GM21399,162.78282714778436,111.27853638408203,101.74791148029551,106.06934435279072
GM21955,51.09892839195738,60.81271862221198,76.90893419602008,98.26990766896999
GM22973,217.25030939002124,205.17355805075664,115.16814247587084,131.5516058662371
GM25291,483.6767041475088,380.5970465375135,259.0569408564273,277.7584945671763
GM25939,900.7098271288988,738.6928487720338,528.3364103096042,530.0511838203948
GM27216,219.4888425767336,167.16395679935167,130.2368455654649,129.30722860984903
GM28661,2558.5688972483867,2266.604686057117,1689.514472798681,1876.2846150031135
GM29438,83.17321373945927,79.01523616780895,175.15018562832597,226.93207324990613
GM30784,56.49356110069588,63.159592870164374,28.799706209784656,35.71299500053399
GM36638,70.86827054816416,77.59163661940744,129.81644371808844,117.23418781442051
GM37084,405.9832799864871,313.63314221141064,171.2594527377386,210.55365093352341
GM37510,39.16633475653791,24.46992318980841,16.208184797676,21.463006612391155
GM37666,9.459762421596709,11.781815402138633,25.288303294154048,26.719258480157894
GM38082,98.05167049438079,96.08692396250336,55.21199214812262,76.42759160219013
GM43410,99.5914098927852,182.27961956245795,208.5885258063,156.50400709725992
GM44005,75.83577667466676,77.59848179532146,112.82014039728637,153.68945987657574
GM4900,35.47355459955535,18.17068930112372,12.545550127811042,15.974311093738981
GM49668,114.62976187532902,104.36716595133537,62.38959815817825,68.67847803608576
GM49705,61.11499722163835,55.79318571952362,27.008208032072535,38.25362978168712
GM5424,1921.3855070809168,1272.3535500677801,989.3019150918608,1051.237598445326
GM5855,122.3658280463127,92.04658011649347,67.08331285507619,76.24391755427611
GM5873,51.791068403077645,43.27469025456033,100.39316864075357,52.052290858959736
GM6061,6.855533456196371,12.72372822073204,17.290829151886246,20.093492649020693
GM6781,21.92238291478492,23.256265189523464,43.39495134161326,34.284929819702874
GM7049,150.74067945964438,81.72303730587387,53.04073678200592,58.31029006915469
GM7803,41.2405368641695,26.26175310611588,18.861473155258693,26.675263773753798
GM7895,93.5616321250159,76.75092891770828,47.27908021818837,52.69809446953152
GM8834,83.51484789356098,50.021407270147,33.97438932838471,53.183565637579164
GM8990,28.56546204272795,19.419967734470927,8.358266787819895,12.080410844491732
GNAT2,6.084554794129554,12.520859685064158,22.794608905583594,5.824010266636778
GPAM,3750.2938329353765,3671.402266229879,5263.032465294558,4442.528015223846
GPLD1,5344.837953075899,5677.536264370862,6365.401710654918,6712.450062633844
GPX6,3.24159195016036,10.712047454736958,11.875316344961467,20.90118221686155
GREB1L,66.77464335926122,56.387173232608404,33.679543481115275,29.08938479632582
GRIK5,141.18023468824407,134.67987799130015,242.5406470092236,212.79019449813904
GSDME,35.49983414987087,35.720271637037214,13.324720002420017,17.941021651327016
GSR,1229.2498420200143,1032.2029104615892,837.5286766191081,1058.6479440602689
GSTA2,613.9777451386832,493.32925141255765,299.60065624834726,511.9993881454588
GSTM1,19114.275568845504,14762.352074157698,12025.558877428244,18005.623447251397
GSTM2,981.4497967592262,740.5141591086659,490.50090588413605,583.4517334295268
GSTM2-PS1,489.5880561596407,309.63368938958007,237.49178520783258,377.3701941055314
GSTM3,1988.4175034165694,895.8836387642214,520.9811468854994,1040.8574553532137
GSTM4,668.1320907028631,402.60283579054635,270.5030150032097,366.01499889429857
GSTM6,882.9469380580232,843.719844919915,539.4515749214405,678.8111984218048
GSTM7,692.6960717620101,573.7111010420509,338.69374151669905,433.42382038650294
GTF2E1,291.5267208931557,223.92123553190157,198.17859299477422,200.60883636212253
GTF2I,1361.7875338306071,1421.0476819762373,1598.673395756671,1702.6785413547198
GTPBP4,423.7727841661134,442.9229654227195,525.204178148639,583.2995567353198
GUCY2C,16.15540065017077,11.038520628744694,38.12635463472968,19.88916550009247
GYS1,72.70152085149768,76.19918768658705,103.57669871134212,77.04590494013117
H13,1494.6772783070771,1450.3759540162605,1711.7813963442345,1566.5156291806065
H2-T22,1176.510491879849,1188.3536610341798,1348.549007660544,1314.937356425549
H3F3B,1538.1582307252531,1213.6457892846217,1083.9988373554652,1141.44296620242
HAGH,2287.784197431547,2676.3717526694877,2749.246224860872,2789.8812560327765
HAMP2,3061.5296107673535,2304.5691412957894,1098.357341303666,1912.6606407458885
HAX1,345.4138351027221,366.4114840020181,421.42266141362006,422.6242837461046
HCFC1,1452.8915246634697,1369.5559479199121,1075.5006910471732,1261.1950975390725
HDAC11,531.3412120341803,660.4174124843667,754.9043771597533,773.9361333710058
HDC,66.85348201020777,41.88246064875267,32.30045587476383,52.87729467697026
HECTD2,78.38744653943606,62.0174062013487,41.607448801909044,39.04059701377636
HERC6,182.86530598204808,138.38713395273302,109.42630220574698,107.2365934422822
HINFP,236.11949305831286,254.00702370973008,296.6165639774785,280.8049976788943
HJURP,1410.1856512003837,1528.814471765101,2207.8456397861646,1923.400138772129
HMGN1,463.2611273036251,511.93620383455607,568.8500286715437,559.7518339621431
HPS1,169.02284131807778,133.06143293843425,103.17329038712982,118.04989777779339
HPS4,275.3076715137078,267.35750656844294,178.3272682291392,228.72558683813327
HS3ST3B1,1386.5132924846703,1430.5849360207135,1857.9582836416926,1740.302546786374
HSD17B6,1500.1330062609286,2157.1273056262976,2730.392391250399,2932.7285544902243
HSD3B2,338.44021144932344,568.6069237015064,678.0478107952293,787.9000402568446
HSD3B3,1563.7547746991982,2074.770969053767,2550.0315644374564,2418.4083183918733
HSP90B1,6419.8024699613925,6890.78443723153,8646.580355480775,6881.762940891444
HSPA1B,57.31709886339373,60.2826796357903,100.07941184926295,95.69728465756845
HSPB8,3066.727854761497,1960.6665115025078,1929.8108306165104,2034.3561348013595
IDI1-PS1,31.647158765266003,22.278023522789727,58.958578110567,39.26912381877556
IER5,156.345548570907,112.79554848351903,70.14000953687118,62.993313177420205
IGFBP1,1181.934833315056,1097.7712727097394,233.86318693127032,294.8143111997177
IGFBP2,4095.998830033982,4793.723050045559,6657.20440234397,6164.839328476818
IGSF11,487.0452579977883,442.7479444021091,310.4613532543321,357.15994519527646
IIGP1,2639.531404160308,2655.6738719801183,1751.7228397661413,2096.730523178586
IKBKE,497.18385287613,456.29638732498324,713.9217236915042,447.1072094825488
IL13RA1,731.5863034610175,587.1847302372242,462.5062596976129,509.8570449359415
IL17RA,561.899484049429,342.64662081924183,322.1951337232093,318.526518199349
INHBA,181.11533018111956,190.67314051069732,89.97551097076597,72.488004662319
INHBB,94.24268250749007,21.369366917157713,14.913688516274457,25.276311615035798
INSIG1,3289.074309970315,5895.8402089094625,7598.236376934345,6833.579632677204
INTS6L,79.3183204291252,89.49305628261618,115.25880765577953,100.27199042524599
IRAK4,243.2925990440246,200.24885715806997,135.28218986487266,133.84823004591598
IRF2BP2,1485.4144447336294,1672.3126517058574,836.1183186401472,1038.1059720746812
IRF8,107.03174723311056,117.28480342491906,148.28276624270458,137.09261754291748
ITGB3,106.18192992009719,127.3193686266287,163.62053222817815,199.10080216401528
IZUMO4,129.16880240187805,125.92383592029735,177.3878643531475,165.33117611567943
JAG1,201.01828801463313,157.47615869571507,128.92034915175867,132.8093251687002
KANK2,702.4800604903098,837.8037600402936,1030.3865312746975,954.8173471333076
KCNA2,76.84548921530244,117.32821642384006,226.1758502333562,132.53202876072965
KDM3B,940.296634690485,784.0049191626568,661.508874107296,741.4771238948927
KIFAP3,132.75424643186932,117.51856132463736,80.87536336167157,84.58306536974709
KLF4,46.021868212734276,21.86474399879387,19.311172779953843,22.620567439273174
KLHL25,315.63507789402195,288.8590098910633,461.61378983052896,462.5992707900625
KRTCAP2,268.38217110948176,252.99528685516827,350.90071352578786,291.837718551837
LACC1,164.13639176825097,163.34420300429338,224.57649378595235,155.85903742022685
LARP4B,1455.118968221536,1610.9429731293562,1701.9400025941272,1961.228465119332
LBP,2744.177694975024,1663.2754037490486,1705.5315177085663,1356.298452101841
LDLRAD4,121.88614236344579,142.3338459206947,180.2117199465791,206.20487681834913
LENG1,99.8586412473988,117.53508533677771,137.23626667847233,137.541256349412
LETMD1,317.4068973938075,355.506705149719,400.04842480573035,423.0082296275858
LGALS8,1383.389790731712,1128.942778143298,1001.6138693486625,1133.2362179145857
LIN52,90.47771747674864,90.75884758977172,123.74971526979783,127.96049925727941
LIPE,254.90983807565792,275.2223634358988,321.80360511575816,301.64646957152206
LLPH,72.1429965176842,77.61900618473155,104.78058341146625,96.11597650841115
LMNB2,127.1997184955085,131.89496047780543,168.85615285986594,148.26425305856876
LMNTD2,21.177683803033617,28.58363314717704,50.31148573180516,33.60667433617345
LRIG1,732.4424389927833,589.2971355415701,477.5077370246352,528.5729098741799
LRP6,2656.5018064286946,2363.867037888072,1909.2667417766677,2327.1907985652256
LRWD1,174.09768357157165,141.49335754600827,104.81584784648113,121.46926758025536
LSS,1132.4402997260856,1196.4481622227715,2680.525356278627,1890.8107835097344
LTBP2,119.88634305530229,37.27102903750094,50.25677861791312,20.60246800907545
LYST,2003.0275175664535,2069.6793414484687,2440.293209092052,2395.014608999978
MAGED1,978.0372199527974,1019.0807990813547,1230.9066150505823,935.2701678495092
MAML3,60.50391378719384,70.3620550187232,92.47554295579471,79.73632585051787
MANF,427.4677822488252,485.387193125735,616.9146099082385,356.25807627279
MAP3K20,374.79396320523097,333.84434059852765,246.6878710235301,307.4258589024283
MAPK8IP1,19.902957833513575,25.0997504629682,38.29255529380861,32.07235408980358
MAPKAPK3,107.00324975706582,99.7842706223652,54.40117986169013,67.99676934937935
ME1,2911.8073845679446,1805.108818695193,1492.2665590296726,1514.8677474836927
MFSD4B5,33.82647907415966,22.03010583103195,13.558572061915967,13.620665094202025
MIEF2,280.39138547011856,324.2292001911717,365.0267091567816,328.38227760304835
MIF4GD,675.0860885831339,550.2316819023163,351.33293881523963,332.7254187709742
MIS12,155.95135531617427,166.56811380208526,231.24857378857374,189.92605598295847
MMAB,334.1471019281073,378.1213809091401,493.05399397955375,426.03278517873133
MNT,156.61277992552058,210.3131561452046,200.3405260975573,183.21401684037525
MOB1A,773.8824581892659,693.0877853819059,547.233362294403,596.4733442419845
MROH2A,14.217032145575189,31.275618688179694,42.734039822097294,39.81931202897892
MRPS11,99.91120034802982,95.81021987526533,132.48102535869302,110.70804758141772
MTRR,110.0871644053331,108.33579949100931,155.48578158933356,173.05993763686163
MUP-PS16,84.31654195740175,101.43242981280213,30.78638280770913,75.31896296489673
MUP18,23.70307411748741,28.284279425294734,8.032152143543485,21.63713086717055
MVK,300.35133825572166,279.6963030066339,676.7459016433878,508.00282762001433
MYC,47.43020985956112,66.00608355188933,139.9877789264228,130.2502170306043
MYD88,252.45441470923376,156.9416191056263,139.1290832867446,169.8480712475552
MYO10,1147.7851346094985,1280.3032557380616,1427.3022940299604,1504.1433419626453
MYOM3,35.84812208116022,20.19250720522451,8.71570382773458,14.982784891366894
MYORG,615.3927405626977,677.4709204618979,785.983000114782,772.6881054478418
NAGA,390.7698428546516,327.98128598168176,458.7947237756582,460.2251342761286
NCOR2,1153.5410272454667,1153.1938090116955,1441.3609100301996,1285.163411851524
NEK8,54.25946376544198,65.82020846857318,94.27902804753053,106.75698704283757
NEU1,457.8161534199848,506.02831938863307,552.471486780887,570.3134083567401
NEURL2,12.515179593819242,9.901292865475503,32.46798752116057,29.61400653947284
NFIB,2136.055649130124,2451.655585221,2484.664419071681,2726.2893133321054
NIPSNAP3B,331.8604454922224,360.30353389455354,421.943949126,388.3171955449273
NLRP6,1924.8873410500678,1874.205247476022,2390.509778558587,2596.7258568237244
NOLC1,311.26534764758856,280.265704180667,435.07674179263694,424.8620315350884
NOPCHAP1,358.5027289520242,262.20989920993355,204.42926017888655,207.65544967103145
NOS1AP,545.104502488769,183.19627692262947,95.55189781144395,70.58239535709248
NOSTRIN,257.69802389326685,214.29405206821846,170.74263187167992,167.88112886861256
NOTCH3,81.15157073245871,74.14245776450205,39.10869420556682,44.66150847299544
NOX4,105.22477648009256,128.37048731665584,210.4980641680736,210.42043847280058
NSFL1C,545.0696867939716,444.9009008876879,389.70576977980505,463.61165779766105
NUCB2,28.085776359861022,28.615003089770887,70.14368515869383,17.63282688514371
NUDT4,1844.0618789916064,1673.896343929289,1324.2739395945682,1382.661580146383
NUP210,526.3603983533025,593.8503868148632,755.2649543103283,603.0886329945686
NXPE2,162.0906871366641,210.15440051401387,239.37533315140251,219.26485250665232
OASL1,205.59160088640303,165.29147694174594,112.98495647041618,77.15508033140021
OAT,15508.973160310703,13743.072856898028,9971.881924874664,12829.831595652708
OAZ1-PS,190.28823547497484,143.90204393705758,110.51161121064733,134.36075196102752
ODC1,718.8675412418618,848.5122457717863,878.9966141632525,930.3310584288764
OPTN,1118.0719084973698,1174.2609466221409,1289.6776346030404,1489.6244027352984
OS9,2917.0057595454045,2820.008720393174,3225.8845604969983,3017.5636928578833
OSBPL11,508.8273714580788,444.98675984773126,341.37797865510345,385.2363618722723
P4HB,16654.23163596381,16949.40411957505,19377.60275351694,16446.749242009573
PACSIN2,707.7059262685092,730.4593504169308,877.2803834715542,833.9063091592402
PAQR7,264.9851197831576,348.11081169804186,487.20162556490766,532.4433992832998
PARP14,1258.3583029164513,941.1635888726545,761.8329011400233,785.2850935228062
PARP2,140.218645396781,102.1429489517781,82.40605633707389,95.9994069509365
PCDH17,54.07328898750414,58.380674181440355,84.78047872336431,80.3348200209834
PCM1,914.1707349756414,579.4526847753131,488.7282650520138,622.0224784245156
PCP4L1,106.69011307900887,216.14577969987943,184.481200630041,219.7677795110342
PDE6C,4.251304490796033,5.5547612600012775,25.194389705870524,26.69114197820069
PDIA3,2892.6764120718035,3146.931294798129,3785.159239333882,2749.058733381814
PDILT,55.98981379324265,118.26068938107385,116.11063821600045,110.20345270995844
PDZK1,710.6429176850942,704.0468424341636,859.3999687219397,820.1464042490952
PEX6,1238.1707058809254,1255.6030944472614,1497.6227752480963,1574.1198007487822
PGM3,191.79282362014683,128.8161064498543,262.6971455044853,192.91667538113882
PHF19,10.655649740170208,14.141202146629599,26.370947648364297,23.137168786888147
PHLDA1,362.9949852471183,766.1078586847822,608.7908883357657,635.1940893037987
PIGB,191.08105783589872,167.54540807887426,121.14074719300969,134.39334230346
PLEKHA7,180.66414197429737,178.63369779438867,326.65947391115026,293.9588275486087
PLEKHB1,121.24877937868575,147.29557819588794,189.01718250429795,157.58767137968107
PLRG1,353.96013148202826,302.5826512370427,211.3024316607852,218.8380259079451
PNPO,1629.7618685725456,1582.860848567031,2090.7319306022446,1920.0360233371882
PODN,55.24289675576213,66.15093213304932,106.79224480857071,111.117096287246
POLR3A,488.02203721092076,493.3626111224088,596.0031855604755,637.0578595295501
POT1A,113.06374292660908,94.59915656042601,68.45872483960497,72.01201405266858
PPIB,1942.9503948030604,2069.0552764833014,2555.1789551895254,1843.139254179822
PPM1M,166.04848072253102,160.1988057642335,214.49837585884526,188.7933902762113
PPP1CA,1505.641964432281,1454.8470291404976,1079.9243211728412,1112.6700042720217
PPP2R1B,309.4583768945705,330.43641871112317,173.65347702319755,195.6130995296034
