,Tx ZT0,Tx ZT12,V ZT0,V ZT12
KANSL3,824.006704436278,980.3992429123268,840.1171743881837,1039.2980904604972
KAT14,317.7584514585411,289.4871908833455,267.5976787391252,321.3898603769465
KAT2B,1089.8927238661095,1226.5759258280852,1240.955283965712,1524.6786456733353
KBTBD7,164.83089706149153,127.48484661173624,188.60214639101807,137.57575783771276
KCNA2,76.53259024858619,224.15917293801803,121.49847803667285,126.06596199782474
KCNK10,10.164996889888865,30.11523194121587,11.374160748164515,35.340723457814654
KCNK5,390.3746715750351,1354.2382274339866,487.1986073767421,1870.7174562844066
KCNN2,377.9162051283927,409.3013048064544,389.0500234387813,598.3372573456137
KCNQ1OT1,3040.2623690827504,2401.627947949429,2205.957402424314,2163.2634132120365
KDM3B,936.1200193338477,657.6061575194009,809.3289192134574,705.5629353549117
KDM4A,698.6571923236986,542.9656032709844,706.4666511206119,480.0625808920831
KDM5B,730.7150316064829,511.32434983108845,744.5262575163036,493.22527293503754
KDM5C,2365.693605028685,1767.5016687271643,2064.8284848019275,1665.364067806354
KDSR,309.46665874865437,355.7588266059151,364.3088012702613,402.90763443505983
KHNYN,844.9454028917324,537.1662106561603,1088.1723095748134,600.0546479652937
KIF13A,443.4848224972117,492.3250614131967,463.42165239099404,523.4467356415379
KIF13B,2440.7122885041613,2122.235781027389,2722.2054562628305,1920.4656690902527
KIF1B,4708.170732205566,4568.082345769212,4577.494226513431,5400.238352915788
KIF20A,50.70860357083252,13.08879844278789,29.794289485724693,12.167756744652749
KIF20B,32.46056281209576,12.828856554883702,25.20499392296279,8.354044512260916
KIF26B,69.796259075434,74.36291594580875,34.48061449520902,80.42775268228026
KIFAP3,131.9362107275164,80.36853636521865,121.24572285322343,80.45963036785439
KIFC3,480.9221254863956,319.30735771130077,455.6056103697434,268.5596241263159
KLF1,52.53931730781265,65.37193269827462,42.25475283478976,79.50185853731665
KLF10,179.37501990324606,255.88449518613254,190.55877802437985,277.6278684532885
KLF13,882.5896030349196,2071.1890596730627,746.7707647424282,2378.194697385268
KLF15,1773.804411911639,2723.7712158035342,1764.8147769622908,3124.0498207465484
KLF16,41.96882919393846,83.0233454343688,37.46775558960456,83.1892833939151
KLF3,890.4343300854372,1038.11709791281,871.2783831092592,1163.8574960447286
KLF4,45.89535409708749,19.198477851834163,22.61720908939674,21.534639855878122
KLHDC3,507.0472289676152,491.3508461141391,472.3857389551794,528.8922019363021
KLHDC7B,48.458540464739144,9.38376852236081,46.46586514671494,4.885168596723154
KLHDC8A,66.02860549391875,32.965481393075656,73.66489404848177,16.937077018092086
KLHDC8B,116.32709845905664,228.6520747551589,106.0777432394916,194.8164222335765
KLHL13,96.11810493960002,87.36743414118116,123.87744264844535,80.36847419413967
KLHL21,493.2706821231711,704.8891094761989,445.83538117788953,863.6187069104232
